I	M	N	T
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.7	5.3	13
12.6	12.8	5.3	4.7
12.6	12.8	5.3	7.8
12.6	12.8	5.3	11.5
12.6	12.8	5.3	11.8
12.6	12.8	5.3	12.3
12.6	12.8	5.3	12.6
12.6	12.8	5.3	12.6
12.6	4.9	5.3	12.6
12.6	5.6	5.3	11.6
12.6	7.3	5.3	11.6
12.6	10.3	5.3	11.6
12.6	12.6	5.3	11.5
12.7	11.8	5.3	11.5
12.7	11.8	3.8	11.5
12.7	11.8	4.5	11.9
12.7	11.9	4.5	11.9
12.7	11.9	4.6	12
12.7	11.9	4.6	12
12.7	11.9	4.6	12
12.7	11.9	4.6	12
12.7	12	4.7	12
12.7	12	4.7	12
12.7	12	4.7	12
12.7	12	4.7	12
12.7	12	4.7	12
12.7	12	4.7	12
12.7	12	4.7	12
12.2	12	4.7	12
12.2	12	4.7	12
12.2	12	4.7	12
12.2	12	4.7	12
12.2	12	4.7	12
12.2	12	4.7	12
12.3	12	4.7	12
12.3	12	4.7	12
12.3	12	4.7	12
12.3	12	4.7	12
12.3	12	4.7	12
12.3	11.5	4.7	12
12.3	11.6	4.7	12
12.3	11.5	4.7	12
12.3	11.5	4.7	12
12.3	11.4	4.8	12
12.3	12	4.8	12.1
12.3	12	4.8	12.1
12.3	12.1	4.8	12.1
12.3	12.1	4.8	12.1
12.4	12.1	4.8	12.1
12.4	12.1	4.8	12.1
12.4	11.8	4.8	12.1
12.4	11.8	4.8	12.1
13.9	11.8	4.8	12.1
13.9	11.8	4.8	12.1
14.1	11.8	4.8	12.1
14.1	11.8	4.8	12.1
14.1	11.8	4.8	12.1
14.1	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
14.2	11.8	4.8	12.1
15.9	11.8	4.8	12.1
15.9	12.5	4.8	12.1
12.5	12.5	4.8	12.1
13	12.5	4.8	12.1
14.9	12.5	4.8	12.1
15.4	12.5	4.8	12.1
15.4	13.4	4.8	12.1
15.7	13.7	4.8	12.1
15.5	13.7	4.8	12.1
15.6	13.6	4.9	12.1
15.5	13.6	4.9	12.1
15.5	13.6	4.9	12.1
15.5	13.6	4.9	12.1
15.5	13.6	4.9	12.1
15.5	13.6	4.9	12.1
15.5	13.6	4.9	12.1
15.5	13.6	5.2	12.1
15.5	13.6	5.2	12.1
15.6	13.6	5.2	12.1
15.6	13.6	5.2	12.1
16.1	13.6	5.2	12.1
16.1	13.6	5.2	12.1
16.1	13.6	5.2	12.1
16.2	13.6	5.2	12.1
